date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:46	25376/25376	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226043762d-6320%22	http://deothemes.com/envato/sedona/html/fonts/ui-icons.eot?31292061	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/fonts/ui-icons6056.eot	(from http://deothemes.com/envato/sedona/html/css/font-icons.css)
10:34:47	13880/13880	---M--	200	added ('OK')	application/font-woff2	etag:%226043762d-3638%22	http://deothemes.com/envato/sedona/html/fonts/ui-icons.woff2?31292061	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/fonts/ui-icons6056.woff2	(from http://deothemes.com/envato/sedona/html/css/font-icons.css)
10:34:47	64992/64992	---M--	200	added ('OK')	application/octet-stream	etag:%22604375f9-fde0%22	http://deothemes.com/envato/sedona/html/fonts/Icon54.ttf?3rh4gs	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/fonts/Icon54a945.ttf	(from http://deothemes.com/envato/sedona/html/css/font-icons.css)
10:34:49	16352/16352	---M--	200	added ('OK')	application/font-woff	etag:%226043762d-3fe0%22	http://deothemes.com/envato/sedona/html/fonts/ui-icons.woff?31292061	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/fonts/ui-icons6056.woff	(from http://deothemes.com/envato/sedona/html/css/font-icons.css)
10:34:49	12136/12136	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226043762d-2f68%22	http://deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons90c6.eot	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:51	25208/25208	---M--	200	added ('OK')	application/octet-stream	etag:%22604375f9-6278%22	http://deothemes.com/envato/sedona/html/fonts/ui-icons.ttf?31292061	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/fonts/ui-icons6056.ttf	(from http://deothemes.com/envato/sedona/html/css/font-icons.css)
10:34:51	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%226043762d-1d70%22	http://deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons90c6.woff	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:51	65068/65068	---M--	200	added ('OK')	application/font-woff	etag:%226043762d-fe2c%22	http://deothemes.com/envato/sedona/html/fonts/Icon54.woff?3rh4gs	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/fonts/Icon54a945.woff	(from http://deothemes.com/envato/sedona/html/css/font-icons.css)
10:34:51	11968/11968	---M--	200	added ('OK')	application/octet-stream	etag:%22604375f9-2ec0%22	http://deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons90c6.ttf	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:51	13691/13691	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22604375f9-357b%22	http://deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/fonts/revicons/revicons90c6.svg	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:51	326/326	---M--	200	added ('OK')	text/html	etag:%22146-5bcdd5ee96440%22	http://deothemes.com/envato/sedona/html/revolution/css/openhand.cur	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/css/openhand.html	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:52	326/326	---M--	200	added ('OK')	text/html	etag:%22146-5bcdd5ee954a0%22	http://deothemes.com/envato/sedona/html/revolution/css/closedhand.cur	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/css/closedhand.html	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:52	25164/25164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Aug%202023%2004:49:50%20GMT	http://deothemes.com/envato/sedona/html/revolution/assets/gridtile.png	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/assets/gridtile.png	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:53	25164/25164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Aug%202023%2004:49:51%20GMT	http://deothemes.com/envato/sedona/html/revolution/assets/gridtile_white.png	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/assets/gridtile_white.png	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
10:34:53	25164/25164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Aug%202023%2004:49:52%20GMT	http://deothemes.com/envato/sedona/html/revolution/assets/gridtile_3x3.png	C:/My%20Web%20Sites/Sedona%20Option%201/deothemes.com/envato/sedona/html/revolution/assets/gridtile_3x3.png	(from http://deothemes.com/envato/sedona/html/revolution/css/settings.css)
